BUDGET FISCAL YEAR,DEPARTMENT NAME,FUND NAME,ACCOUNT NAME,ADOPTED BUDGET AMOUNT,TOTAL EXPENDITURES,BUDGET CHANGE AMOUNT,BUDGET TRANSFER IN AMOUNT,BUDGET TRANSFER OUT AMOUNT,TOTAL BUDGET,ENCUMBRANCE AMOUNT,PRE-ENCUMBRANCE AMOUNT,BUDGET UNCOMMITTED AMOUNT,ACCOUNT GROUP NAME,FUND,ACCOUNT,DEPARTMENT
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,GENERAL FUND- VARIOUS PROGRAM,CASH FOR COLLEGE - CITY GF,0.00,,49000.00,0.00,0.00,49000.00,0.00,0.00,49000.00,,551,22T816,22
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,"GOB SERIES 2018-A (TAXABLE), PROP HHH CONSTRUCTION FUND",67TH & MAIN STREET,0.00,1122366.02,7180000.00,0.00,0.00,7180000.00,6057633.98,0.00,0.00,,17C,43T946,43
2021,CITY CLERK,DOWNTOWN CTR BUS IMPROV DISTR,RECOVERY COSTS,0.00,36170.18,36170.18,0.00,0.00,36170.18,0.00,0.00,0.00,,40Q,140299,14
2021,NEIGHBORHOOD EMPOWERMENT,GENERAL FUND (GENERAL BUDGET),OFFICE AND ADMINISTRATIVE,77000.00,42006.91,-40000.00,80000.00,0.00,117000.00,0.00,0.00,74993.09,EXPENSES,100,006010,47
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"MEASURE W - SAFE, CLEAN WATER - MUNICIPAL PROGRAM SF",EXPENSE AND EQUIPMENT,150000.00,,0.00,0.00,0.00,150000.00,0.00,0.00,150000.00,,60W,50T517,50
2021,PENSION,FIRE & POLICE TIER 2 GENERAL P,"FURNITURE, OFFICE AND TECHNICAL EQUIPMENT",6000.00,,0.00,0.00,0.00,6000.00,0.00,0.00,6000.00,,804,647300,64
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LA COUNTY LA RISE MEASURE H FUND,ECONOMIC AND WORKFORCE DEVELOPMENT,0.00,45160.80,167183.00,0.00,0.00,167183.00,0.00,0.00,122022.20,,59N,22T122,22
2021,NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION,GENERAL FUND (GENERAL BUDGET),MICLA 2017 STREET LIGHTING,4469877.00,4469876.08,0.00,0.00,0.00,4469877.00,0.00,0.00,0.92,SPECIAL,100,000355,53
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,FEDERAL EMERGENCY SHELTER GRNT,LAHSA HOMELESS PREVENTION & RRH,0.00,,1206240.00,0.00,0.00,1206240.00,1206240.00,0.00,0.00,,517,43T703,43
2021,BUILDING AND SAFETY,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,23306.00,2029.48,0.00,0.00,0.00,23306.00,0.00,0.00,21276.52,EXPENSES,100,006020,8
2021,NON-DEPARTMENTAL - HUMAN RESOURCES BENEFITS,PENSION SAVINGS INVESTMENT FND,PARTIME CITY EMPLOYER CONT,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,881,618812,61
2021,WATER AND POWER,WS RB 2014 SERIES A BOND SERVICE FUND,RETIREMENT OF PRINCIPAL,0.00,3370000.00,0.00,0.00,0.00,0.00,0.00,0.00,-3370000.00,,M1C,988110,98
2021,ANIMAL SERVICES,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,120000.00,136077.77,0.00,17822.11,0.00,137822.11,0.00,0.00,1744.34,SALARIES AND BENEFITS,100,001090,6
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WSSRB DEBT SERV REF 2006-A-D,INTEREST EXPENSE,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,W53,508210,50
2021,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,GENERAL FUND (GENERAL BUDGET),DISCOVERY CUBE LOS ANGELES (DCLA),500000.00,,0.00,0.00,0.00,500000.00,0.00,0.00,500000.00,SPECIAL,100,580316,58
2021,RECREATION AND PARKS,MUNICIPAL SPORTS ACCOUNT,EPICC PROGRAM,0.00,9906.56,434717.26,0.00,0.00,434717.26,5703.48,0.00,419107.22,,301,88060M,88
2021,CANNABIS REGULATION,DEPARTMENT OF CANNABIS REGULATION SPECIAL REVENUE TRUST FUND,CITY ATTORNEY,560832.00,516124.98,0.00,0.00,0.00,560832.00,0.00,0.00,44707.02,,60E,13T112,13
2021,CITY EMPLOYEES RETIREMENT SYSTEM,CITY EMPLOYEES RETIREMENT,TRAVEL,106315.00,,-16000.00,0.00,0.00,90315.00,0.00,0.00,90315.00,,800,162130,16
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,SYCAMORE GROVE OUTDOOR DEV LWC,0.00,,157845.90,0.00,0.00,157845.90,0.00,0.00,157845.90,,205,88080N,88
2021,EL PUEBLO DE LOS ANGELES HISTORICAL MONUMENT AUTHORITY,EL PUEBLO CULTURAL IMPROV TRUS,GENERAL SERVICES,0.00,72813.44,72813.44,0.00,0.00,72813.44,0.00,0.00,0.00,,44T,33140T,33
2021,WATER AND POWER,ARRA-EECBG FUND - DWP,ENERGY EFFICIENCY RETRO NONPRO,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,J5G,983001,98
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),"CITY FACILITIES, MAINTENANCE & IMPROVEMENTS",0.00,,3946654.00,0.00,0.00,3946654.00,0.00,0.00,3946654.00,SPECIAL,100,00T764,54
2021,CITY CLERK,CHATSWORTH BUSINESS IMPROV DIS,RECOVERY COSTS,0.00,,4571.00,0.00,0.00,4571.00,0.00,0.00,4571.00,,43E,140299,14
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LA RISE - CITY GF HOMELESS PROGRAM,REIMBURSEMENT OF GENERAL FUND COSTS,0.00,,100239.00,0.00,0.00,100239.00,0.00,0.00,100239.00,,10C,22T299,22
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,VENICE BCH OIL SITE RESTORATIO,0.00,,77983.43,0.00,0.00,77983.43,0.00,0.00,77983.43,,302,89920D,89
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,NOS REHAB U-9 ALISO STREET TO 6TH STREET,4041000.00,1736468.20,-2207195.70,0.00,0.00,1833804.30,96452.36,0.00,883.74,,70W,50TAG9,50
2021,NON-DEPARTMENTAL - UNAPPROPRIATED BALANCE,GENERAL FUND (GENERAL BUDGET),MUTUAL AID OVERTIME,3000000.00,,0.00,0.00,3000000.00,0.00,0.00,0.00,0.00,SPECIAL,100,580274,58
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),COMMUNITY SERVICES DISTRICT 13,94533.00,54926.57,61567.37,755.16,0.00,156855.53,7575.00,3070.00,91283.96,SPECIAL,100,000713,56
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,GENERAL FUND (GENERAL BUDGET),TRANSPORTATION,11946.00,583.50,-4736.00,0.00,0.00,7210.00,0.00,0.00,6626.50,EXPENSES,100,003310,22
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,MARY PAYNE BEQUEST-L A ZOO,0.00,,1350.45,0.00,0.00,1350.45,0.00,0.00,1350.45,,205,88040F,88
2021,RECREATION AND PARKS,MUNICIPAL SPORTS ACCOUNT,AQUATICS DIVISION,0.00,72554.12,1520388.16,0.00,0.00,1520388.16,1904.26,18300.00,1427265.09,,301,88053M,88
2021,PENSION,FIRE & POLICE TIER 2 GENERAL P,HEALTH INSURANCE,1631000.00,945678.84,0.00,0.00,0.00,1631000.00,685321.16,0.00,0.00,,804,645180,64
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),CD 4 COUNCIL FEE SUBSIDY ACCT,32700.00,17631.10,99567.58,0.00,0.00,132267.58,0.00,0.00,114636.48,SPECIAL,100,000861,56
2021,MAYOR,FY18 DH GRANT FUND,MAYOR,0.00,,31260.18,0.00,0.00,31260.18,0.00,0.00,31260.18,,62G,46T146,46
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WSSRB DEBT SERV REF 2012-B,RETIREMENT OF PRINCIPAL,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,W73,508110,50
2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,INFORMATION TECHNOLOGY AGENCY,1651732.00,825979.34,62318.41,0.00,0.00,1714050.41,0.00,0.00,888071.07,,48R,08T132,8
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,VAN NESS RC SPORTSFLD/PL LIGHT,0.00,,996.88,0.00,0.00,996.88,0.00,0.00,996.88,,205,88080J,88
2021,CULTURAL AFFAIRS,ARTS AND CULTURAL FACIL & SERV,GENERAL CITY PURPOSES,320975.00,1627629.89,1386654.89,0.00,0.00,1707629.89,0.00,0.00,80000.00,,480,30T156,30
2021,NON-DEPARTMENTAL - GENERAL,RESERVE,AVAILABLE - CONTROLLER,0.00,500000.00,0.00,0.00,0.00,0.00,0.00,0.00,-500000.00,,101,621026,62
2021,GENERAL SERVICES,GENERAL FUND (GENERAL BUDGET),HIRING HALL SALARIES,6157135.00,6140219.81,726736.00,257200.00,0.00,7141071.00,0.00,0.00,1000851.19,SALARIES AND BENEFITS,100,001100,40
2021,CITY CLERK,HIT-AND-RUN REWARD PROGRAM TRUST FUND,POLICE,0.00,200000.00,200000.00,0.00,0.00,200000.00,0.00,0.00,0.00,,59G,14T170,14
2021,HARBOR,HARBOR REVENUE,HIRING HALL SALARIES,0.00,3545844.84,0.00,0.00,0.00,0.00,0.00,0.00,-3545844.84,,702,421100,42
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)",NOS REHAB U-1 VAN NESS TO WESTERN,517000.00,,-517000.00,0.00,0.00,0.00,0.00,0.00,0.00,,75R,50TAG6,50
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),INNOVATION AND PERFORMANCE MANAGEMENT UNIT,380000.00,,0.00,0.00,380000.00,0.00,0.00,0.00,0.00,SPECIAL,100,000895,56
2021,OFFICE OF FINANCE,GOB REFUNDING SERIES 2016-A DEBT SERVICE FUND,GOB SER - PRINCIPAL,17060000.00,17060000.00,0.00,0.00,0.00,17060000.00,0.00,0.00,0.00,,A72,398110,39
2021,CULTURAL AFFAIRS,ARTS AND CULTURAL FACIL & SERV,INFORMATION TECHNOLOGY AGENCY,14733.00,77222.91,63717.66,0.00,0.00,78450.66,0.00,0.00,1227.75,,480,30T132,30
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,CRA/LA EXCESS NON-HOUSING BOND PROCEEDS,REIMBURSEMENT OF GENERAL FUND COSTS-CAO,0.00,79445.30,112114.00,0.00,0.00,112114.00,0.00,0.00,32668.70,,57D,22T399,22
2021,CITY ADMINISTRATIVE OFFICER,STAPLES CENTER TRUST FUND,CAPITAL FINANCE ADMINISTRATION,3458930.00,3170685.87,0.00,0.00,0.00,3458930.00,0.00,0.00,288244.13,,908,10T153,10
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,WATTS AREA SOCCER FIELDS-LAHD,0.00,,5000.00,0.00,0.00,5000.00,0.00,0.00,5000.00,,205,88440J,88
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,COMMUNITY DEVELOPMENT TRUST,FAMILYSOURCE CENTERS-NONPROFIT MANAGED,0.00,1507629.45,5889327.00,0.00,0.00,5889327.00,4253597.55,0.00,128100.00,,424,43T582,43
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,CRA/LA EXCESS NON-HOUSING BOND PROCEEDS,PERSONNEL,0.00,4288.47,13496.00,0.00,0.00,13496.00,0.00,0.00,9207.53,,57D,22T166,22
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LA COUNTY PROJECT INVEST FUND,PERSONNEL,0.00,,1688.00,0.00,0.00,1688.00,0.00,0.00,1688.00,,60K,22T166,22
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,BOYLE HEIGHTS SPORTS FIELD,0.00,,1115.07,0.00,0.00,1115.07,0.00,0.00,1115.07,,205,88020S,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WSRB DEBT SERVICE RESERVE FUND,DEBT SERVICE RESERVE FUND TRANSFER,0.00,1763217.31,0.00,0.00,0.00,0.00,0.00,0.00,-1763217.31,,W56,508280,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,VENTURA CANYON AND STRATHERN AVE,1114893.00,,0.00,0.00,0.00,1114893.00,0.00,0.00,1114893.00,,59V,50TVFM,50
2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,CAPITAL FINANCE ADMINISTRATION,4116734.00,3773672.87,0.00,0.00,0.00,4116734.00,0.00,0.00,343061.13,,48R,08T153,8
2021,CITY CLERK,LOS ANGELES TOURISM MARKETING DISTRICT,RECOVERY COSTS,0.00,,68568.40,0.00,0.00,68568.40,0.00,0.00,68568.40,,53U,140299,14
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,EMERGENCY EMPL ACT,0.00,,63375.91,0.00,0.00,63375.91,0.00,0.00,63375.91,,302,89590K,89
2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: SOUTHERN PACIFIC TRAILS (R35),0.00,,1500000.00,0.00,0.00,1500000.00,0.00,0.00,1500000.00,SPECIAL,43K,10TPAQ,10
2021,CITY CLERK,GRANADA HILLS PROP & BUS IMPRO,RECOVERY COSTS,0.00,3853.69,3853.69,0.00,0.00,3853.69,0.00,0.00,0.00,,42S,140299,14
2021,CULTURAL AFFAIRS,GENERAL FUND (GENERAL BUDGET),CULTURAL GRANTS FOR FAMILY AND YOUTH,3755546.00,813188.00,0.00,0.00,0.00,3755546.00,2614618.00,0.00,327740.00,SPECIAL,100,009781,30
2021,MAYOR,FY18 PROPOSITION 47 BSCC GRANT FUND,REIMBURSEMENT OF GENERAL FUND COSTS,0.00,,23390.27,0.00,0.00,23390.27,0.00,0.00,23390.27,,59S,46T299,46
2021,POLICE,GENERAL FUND (GENERAL BUDGET),CONTRACTUAL SERVICES,45548118.00,24077692.43,2076478.00,2323156.00,4697621.17,45250130.83,14180629.93,187041.02,6753269.89,EXPENSES,100,003040,70
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,REV CERT OF PARTI SANIT EQ ACQ,EQUIPMENT & OTHER PERIPHERALS,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,509,50KMEP,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,NOS REHAB U-12 DUVAL TO HUMBOLDT,3740000.00,,-3740000.00,0.00,0.00,0.00,0.00,0.00,0.00,,70W,50TABO,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)",DCT EMERGENCY BACKUP POWER,5985000.00,,-5985000.00,0.00,0.00,0.00,0.00,0.00,0.00,,75R,50TJHN,50
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,HANSEN DAM R/C WATERSLIDE,0.00,,52645.00,0.00,0.00,52645.00,0.00,0.00,52645.00,,205,88080E,88
2021,CITY PLANNING,PLANNING CASE PROCESSING SPREV,CITY PLANNING,0.00,4382.56,4382.56,0.00,0.00,4382.56,0.00,0.00,0.00,,52D,68268T,68
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,HASPRAY BEQUEST FOR,0.00,,28077.47,0.00,0.00,28077.47,0.00,0.00,28077.47,,205,88520F,88
2021,EMERGENCY MANAGEMENT,GENERAL FUND (GENERAL BUDGET),OVERTIME GENERAL,100000.00,35302.22,128883.18,0.00,39000.00,189883.18,0.00,0.00,154580.96,SALARIES AND BENEFITS,100,001090,35
2021,CITY ATTORNEY,CITY ATTY CONSUMER PROTEC PROC,GENERAL SERVICES,0.00,187329.33,307262.19,0.00,0.00,307262.19,0.00,0.00,119932.86,,550,12T140,12
2021,OFFICE OF FINANCE,"GOB SERIES 2017-A (TAXABLE), DEBT SERVICE FUND",GOB SER - PRINCIPAL,4320000.00,4320000.00,0.00,0.00,0.00,4320000.00,0.00,0.00,0.00,,A73,398110,39
2021,CITY ADMINISTRATIVE OFFICER,HHAP,1221 S. FIGUEROA PLACE,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,62Y,10T615,10
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,GREAT AMERICAN BAKE SALE,0.00,,120.50,0.00,0.00,120.50,0.00,0.00,120.50,,205,88CP01,88
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,SYLMAR PARK - NEW RESTROOM 46TH PY,0.00,75.00,75.00,0.00,0.00,75.00,0.00,0.00,0.00,,205,88TCIC,88
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HOMELESS EFFORTS - COUNTY FUNDING AGREEMENT FUND,YEAR-ROUND INTERIM HOUSING OPERATIONS - VARIOUS,0.00,,220220.00,0.00,0.00,220220.00,220220.00,0.00,0.00,,63Q,43TA78,43
2021,CITY ADMINISTRATIVE OFFICER,STAPLES CENTER TRUST FUND,UNALLOCATED,6086974.00,,0.00,0.00,0.00,6086974.00,0.00,0.00,6086974.00,SPECIAL,908,10T504,10
2021,CITY ADMINISTRATIVE OFFICER,GREATER LOS ANGELES VISITORS,KNAPP RANCH,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,429,10T429,10
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,HUD CONNECTIONS GRANT,TENANT BASED RENTAL ASSISTANCE,0.00,,1303712.00,0.00,0.00,1303712.00,0.00,0.00,1303712.00,,47X,43T334,43
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,HWRP INDUSTRIAL WATER DISTRIBUTION MODIFICATION,865000.00,5000.00,-18108.41,0.00,0.00,846891.59,1000.00,0.00,840891.59,,70W,50TDK6,50
2021,POLICE,"MICLA LEASE, SERIES 2020-A (CAPITAL EQUIPMENT) ACCOUNTING FD",POLICE HELICOPTER-MICLA BFY21,0.00,15417498.97,15417498.97,0.00,0.00,15417498.97,0.00,0.00,0.00,,27G,70T733,70
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,HWRP OVERFLOW BYPASS CHANNEL GATE REPLACEMENT,522000.00,274341.07,0.00,0.00,0.00,522000.00,13844.63,0.00,233814.30,,70W,50TDAT,50
2021,NON-DEPARTMENTAL - GENERAL CITY PURPOSES,GENERAL FUND (GENERAL BUDGET),CD 11 COUNCIL FEE SUBSIDY ACCT,32700.00,12363.58,400963.22,0.00,0.00,433663.22,0.00,0.00,421299.64,SPECIAL,100,000868,56
2021,NON-DEPARTMENTAL - CAPITAL FINANCE ADMINISTRATION,GENERAL FUND (GENERAL BUDGET),"MICLA 2012-C REFUNDING OF MICLA SERIES 2002-AQ,AR,AU,T & 200",10209550.00,,0.00,0.00,0.00,10209550.00,0.00,0.00,10209550.00,SPECIAL,100,000343,53
2021,GENERAL SERVICES,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,101749534.00,91900775.02,-134761.00,3500000.00,1037000.00,104077773.00,0.00,0.00,12176997.98,SALARIES AND BENEFITS,100,001010,40
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SOLID WASTE RESOURCES FUND,NEIGHBORHOOD EMPOWERMENT FUND (SCHEDULE 18),60445.00,,0.00,0.00,0.00,60445.00,0.00,0.00,60445.00,SPECIAL,508,50T44B,50
2021,CITY ATTORNEY,CITY ATTY CONSUMER PROTEC PROC,FALSE CLAIMS RECEIPTS,0.00,,810443.93,0.00,0.00,810443.93,0.00,0.00,810443.93,,550,12T307,12
2021,PENSION,FIRE & POLICE TIER 2 GENERAL P,MEDICAL SERVICES,320000.00,90532.20,0.00,0.00,0.00,320000.00,129467.80,0.00,100000.00,,804,644230,64
2021,AGING,AREA PLAN FOR THE AGING TIT 7,CONGREGATE MEALS FOR SENIORS,0.00,411380.50,813615.00,0.00,0.00,813615.00,402234.50,0.00,0.00,,395,02TQ02,2
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WW SYST COMM PAPER A CONST FND,PP 654 BALLONA CREEK GENERATOR REPLACEMENT,0.00,,798000.00,0.00,0.00,798000.00,0.00,0.00,798000.00,,70W,50TFM2,50
2021,EMERGENCY OPERATIONS BOARD,EMERGENCY OPERATIONS FUND,GENERAL SERVICES,0.00,3803.71,3803.71,0.00,0.00,3803.71,0.00,0.00,0.00,,392,34T140,34
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),19020-19040 VANOWEN STREET,0.00,30000.00,30000.00,0.00,0.00,30000.00,0.00,0.00,0.00,SPECIAL,100,00T754,54
2021,HOUSING AND COMMUNITY INVESTMENT DEPARTMENT,AFFORDABLE HOUSING AND SUSTAINABLE COMMUNITIES GRANT,MANCHESTER URBAN HOMES,0.00,,6000000.00,0.00,0.00,6000000.00,0.00,0.00,6000000.00,,60V,43T865,43
2021,TRANSPORTATION,MOBILE SOURCE AIR POLLUT REDUC,SINGLE AUDIT CONTRACT,15000.00,,-15000.00,0.00,0.00,0.00,0.00,0.00,0.00,SPECIAL,528,94264T,94
2021,RECREATION AND PARKS,RECREATION & PARKS GRANT,ROSS SNYDER PROGRAMMING,0.00,,202225.48,0.00,0.00,202225.48,0.00,0.00,202225.48,,205,88HMA6,88
2021,CITY ADMINISTRATIVE OFFICER,PROPOSITION K PROJECTS FUND,PRJ: ROGER JESSUP REC CTR (S60),0.00,,318631.00,0.00,0.00,318631.00,0.00,0.00,318631.00,SPECIAL,43K,10TPAT,10
2021,RECREATION AND PARKS - SPECIAL ACCOUNTS,RECREATION AND PARKS,VALLEY REGION DONATION,0.00,,43.70,0.00,0.00,43.70,0.00,0.00,43.70,,302,89834M,89
2021,CULTURAL AFFAIRS,GENERAL FUND (GENERAL BUDGET),OPERATING SUPPLIES,203272.00,62490.38,-24623.68,0.00,0.00,178648.32,8298.28,0.00,94307.92,EXPENSES,100,006020,30
2021,CITY ADMINISTRATIVE OFFICER,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,14740528.00,13830457.39,60178.60,0.00,14450.00,14786256.60,0.00,0.00,955799.21,SALARIES AND BENEFITS,100,001010,10
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,USED OIL COLLECTION TRUST FUND,USED OIL PAYMENT PROGRAM 11,0.00,8848.00,700000.00,0.00,0.00,700000.00,326152.00,4480.00,360520.00,,586,50TM11,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ST LIGHTING MAINTENANCE ASSESS,STREET LIGHTING IMPROVEMENTS AND SUPPLIES,0.00,2698885.58,3704830.00,0.00,0.00,3704830.00,639980.29,141634.00,222678.42,SPECIAL,347,50TLIS,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,STORMWATER POLLUTION ABATE FND,NPDES PERMIT COMPLIANCE,497000.00,30908.00,0.00,0.00,0.00,497000.00,0.00,0.00,466092.00,SPECIAL,511,50T554,50
2021,NON-DEPARTMENTAL - GENERAL,RESERVE,AVAILABLE - NEIGHBORHOOD EMPOWERMENT,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,101,621047,62
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SOLID WASTE RESOURCES FUND,PW-SANITATION EXPENSE & EQUIPMENT,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,508,50LX82,50
2021,RECREATION AND PARKS,MUNICIPAL SPORTS ACCOUNT,PACIFIC REGION ADM,0.00,,143535.85,0.00,0.00,143535.85,0.00,0.00,143535.85,,301,88030M,88
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,ROAD MAINTENANCE AND REHABILITATION PROGRAM SPECIAL FUND,STREET LIGHTING AT EXISTING PEDESTRIAN CROSSWALKS-VISIONZERO,0.00,,500000.00,0.00,0.00,500000.00,1842.40,498157.60,-0.00,,59V,50TV25,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,WSSRB DEBT SERV REF 2006-A-D,SWAP TERMINATION PAYMENT,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,W53,508410,50
2021,ECONOMIC AND WORKFORCE DEVELOPMENT DEPARTMENT,LA COUNTY LA RISE MEASURE H FUND,LA COUNTY LA RISE MEASURE H,0.00,750316.47,926000.00,0.00,0.00,926000.00,123207.96,0.00,52475.57,,59N,22T658,22
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,SIDEWALK AND CURB REPAIR FUND,BUREAU OF CONTRACT ADMINISTRATION,1297288.00,864858.67,-38919.00,0.00,0.00,1258369.00,0.00,0.00,393510.33,,57F,50T176,50
2021,NON-DEPARTMENTAL - APPROPRIATIONS TO SPECIAL PURPOSE FUND,"WSSRB CONSTRUCTION FUND, SERIES 2018-A (GREEN BONDS)",PP 604 HIGHBURY REHABILITATION,1078000.00,135440.57,-942559.43,0.00,0.00,135440.57,0.00,0.00,0.00,,75R,50TFN4,50
2021,CITY CLERK,NEIGHBORHOOD COUNCIL FUND,ARLETA NEIGHBORHOOD COUNCIL,0.00,24000.00,32000.00,0.00,0.00,32000.00,0.00,0.00,8000.00,,59B,141200,14
2021,WATER AND POWER,PWR SYST RB 2013 A BD SER FUND,RETIREMENT OF PRINCIPAL,0.00,39650000.00,0.00,0.00,0.00,0.00,0.00,0.00,-39650000.00,,J6E,988110,98
2021,BUILDING AND SAFETY,BLDG & SAFETY PERMIT ENTERPRIS,RESERVE FOR FUTURE COSTS,279746266.00,,-100012000.00,0.00,0.00,179734266.00,0.00,0.00,179734266.00,SPECIAL,48R,08T204,8
2021,TRANSPORTATION,PROPOSITION C ANTIGRIDLOCK IMP,BUREAU OF STREET LIGHTING,2873858.00,2634369.87,-86216.00,0.00,0.00,2787642.00,0.00,0.00,153272.13,,540,94T184,94
2021,CULTURAL AFFAIRS,GENERAL FUND (GENERAL BUDGET),SALARIES GENERAL,6206557.00,5101214.40,0.00,0.00,43000.00,6163557.00,0.00,0.00,1062342.60,SALARIES AND BENEFITS,100,001010,30
2021,NON-DEPARTMENTAL - CAPITAL IMPROVEMENT EXPENSE PROGRAM,GENERAL FUND (GENERAL BUDGET),ONE PERCENT FOR THE ARTS,251430.00,251430.00,0.00,0.00,0.00,251430.00,0.00,0.00,0.00,SPECIAL,100,00T276,54
